Title,X,Y, Period,Subject,classification, URL
Cairn East of High Great Knott Troutbeck,341705,507045,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895714
Cairn East of Trout Beck,341925,506475,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895759
Cairn East of Trout Beck,341965,506525,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895758
Cairn East of Troutbeck,342795,507835,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895743
Cairn East of Troutbeck,341985,507295,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895787
Cairn East of Troutbeck,341985,507295,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895787
Cairn West of The Tongue's summit Troutbeck,342135,506725,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895754
Cairn West of The Tongue's summit Troutbeck,342345,507575,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895767
Cairn West of The Tongue's summit Troutbeck,342325,507595,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895768
Cairn West of The Tongue's summit Troutbeck,342315,507555,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895765
Cairn West of The Tongue's summit Troutbeck,342345,507545,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895766
Cairn on The Tongue's summit Troutbeck,342355,506715,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895746
Cairn southeast of High Great Knott Troutbeck Park,341685,506805,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895701
Elongated cairn West of Bluegill Troutbeck,342555,507745,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895744
MOOR DIVOCK,349000,521000,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1866077
Moor Divock Cairn Askham,349400,521900,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885996
Moor Divock Round Cairn Askham,349660,521530,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885999
Earthwork remains of two Bronze Age round cairns.,342730,507730,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971748
Earthwork remains of two Bronze Age round cairns.,342740,507790,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971748
Stone cairn North of Hagg Gill Troutbeck Park,342655,506935,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895551
Stone cairn near Hagg Gill Troutbeck Park,342645,506985,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895552
Two Cairns at The Pen Bampton,347746,518161,Bronze Age,Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2890765
Cairnfield and Structure at Rowentree Crag Shap Rural,352925,513006,Neolithic,Cairnfield,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2891139
Cairnfield at Helton Fell Askham,348146,520830,Bronze Age,Cairnfield,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2890668
Cairns,343900,519100,Bronze Age,Cairnfield,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971839
Clearance cairn East of Troutbeck,342045,507315,Bronze Age,Clearance Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895785
Clearance cairn East of Troutbeck,342055,507265,Bronze Age,Clearance Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895786
Earthwork remains of Bronze Age funerary cairns and clearance cairns,348250,521880,Bronze Age,Clearance Cairn; Round Cairn; Cairnfield,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971944
Earthwork remains of Bronze Age standing stones clearance cairns a round cairn and an enclosure.,348950,516200,Bronze Age,Clearance Cairn; Round Cairn; Cairnfield; Standing Stone,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971822
Earthwork remains of Bronze Age standing stones clearance cairns a round cairn and an enclosure.,348990,516340,Bronze Age,Clearance Cairn; Round Cairn; Cairnfield; Standing Stone,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971822
Earthwork remains of Bronze Age standing stones clearance cairns a round cairn and an enclosure.,349150,516290,Bronze Age,Clearance Cairn; Round Cairn; Cairnfield; Standing Stone,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971822
Bronzr Age ring cairn,349400,521970,Bronze Age,Ring Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971926
Earthwork remains of a Bronze Age ring cairn,352880,519300,Bronze Age,Ring Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=972325
A Bronze Age ring Cairn,348470,521780,Bronze Age,Ring Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1294438
A Bronze Age ring Cairn,353210,518920,Bronze Age,Ring Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1182081
Ring Cairn on Askham Fell including The Cop Stone Askham,349590,521600,Bronze Age,Ring Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885998
Ring Cairn on Knipescar Common S of Inscar Plantation,353220,518920,Bronze Age,Ring Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885660
Ring Cairn on Knipescar Common,352880,519290,Bronze Age,Ring Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885659
Ring Cairns at Three Pow Raise,348470,521780,Bronze Age,Ring Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2888917
THE COP STONE,349590,521600,Bronze Age,Ring Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971924
Cairn on The Tongue's summit Troutbeck,342365,506745,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2895745
MOOR DIVOCK,349400,521970,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1866073
Bronze Age Round cairn,349080,511180,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971869
Remains of a cairn on the summit of Low Raise,345630,513740,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971872
Earthwork remains of a Bronze Age round cairn 490m East-North-East of Rough Hill Tarn,349950,519610,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971816
Earthwork remains of a Bronze Age round cairn 490m East-North-East of Rough Hill Tarn,349970,519550,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971816
Bronze Age Round cairn,349310,522190,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971927
Bronze Age round cairn Askham Fell.,349580,521940,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971925
A Bronze Age round cairn,349330,522900,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971928
A Bronze Age round cairn,349900,520380,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971920
A Bronze Age round cairn,349580,521870,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971939
 Bronze Age round cairns,348780,522460,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971943
 Bronze Age round cairns,348780,522490,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971943
 Bronze Age round cairns,348850,522460,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971942
 Bronze Age round cairns,348920,522560,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=971942
A Bronze Age round cairn,342730,506640,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1293937
A Bronze Age round cairn,342710,506590,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1293938
A Bronze Age round cairn,342730,506750,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1293936
Earthwork remains of a Bronze Age round cairn,348860,516200,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1294513
A Bronze Age round cairn,344810,513440,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1294510
A Bronze Age round cairn,349140,522300,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1294611
A Bronze Age round cairn,348530,522090,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1294435
A Bronze Age round cairn,349320,522150,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1294421
A Bronze Age round cairn,349290,522200,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1294423
A Bronze Age round cairn,348510,522580,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1294425
A Bronze Age round cairn,348510,522580,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1294425
A Bronze Age round cairn,348870,523170,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1294476
Northern Round Cairn on N end of the Tongue,342500,507630,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885793
Round Cairn 200m South-South-West of Bluegill Fold,342740,507790,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885791
Round Cairn 250m South-South-West of Bluegill Fold,342730,507730,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885790
Round Cairn 280m SE of The Cockpit Stone Circle Askham,348530,522090,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2888916
Round Cairn 285m SE of White Raise Round Cairn Askham,349140,522300,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885986
Round Cairn 475m SE of White Raise Round Cairn Askham,349290,522200,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2888562
Round Cairn 490m ENE of Rough Hill Tarn Bampton,349940,519530,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885672
Round Cairn 490m SE of White Raise Round Cairn Askham,349300,522170,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885988
Round Cairn 50m NE of White Raise Round Cairn Askham,348920,522460,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885983
Round Cairn 515m SE of White Raise Round Cairn Askham,349320,522150,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885995
Round Cairn 520m NE of The Cockpit Askham Fell,348740,522460,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885984
Round Cairn 580m NE of the Cockpit Askham Fell Askham,348780,522490,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885982
Round Cairn 60m East of Hagg Gill,342730,506750,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885794
Round Cairn 660m NE of The Cockpit Stone Circle Askham,348850,522560,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885970
Round Cairn 680m ENE of Dalefoot Bampton,349900,520380,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2886000
Round Cairn 75m East of Hagg Gill,342710,506590,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885798
Round Cairn 80m East of Hagg Gill,342730,506640,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885797
Round Cairn North of Four Stones Hill Bampton,349140,516340,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885677
Round Cairn West of Enclosure on Four Stones Hill Bampton,348860,516200,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2888921
Round Cairn West of Riddingley's Top Askham Fell Askham,349330,522890,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885980
Round Cairn at Kettle Crag Askham,347752,519737,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2890704
Round Cairn at Kidmoor Bampton,348303,519175,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2890717
Round Cairn at Loadpot Hill Askham,345928,518345,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2890755
Round Cairn at Willdale Bampton,348591,516588,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2890779
Round Cairn on Askham Fell 335m N of the Cop Stone Askham,349574,521938,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885994
Round Cairn on Askham Fell270m N of The Cop Stone Askham,349570,521870,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885997
Round Cairn on Burn Banks Bampton,350170,516260,Bronze Age,Round Cairn,Cairn,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2885662
